alpha,total,prop_w,bpa_25,bpa_50,bpa_75,bpa_90,bpa_99,bbp_25,bbp_50,bbp_75,bbp_90,bbp_99
0.1,10000,0.51,0.4725,0.8173,1.0,1.0,1.0,0.0954,0.3015,0.5021,0.6343,0.853
0.1,10000,0.52,0.1192,0.2057,0.3653,0.6088,1.0,0.0277,0.0993,0.2008,0.3029,0.6072
0.1,10000,0.53,0.0531,0.0918,0.1626,0.269,0.6003,0.0136,0.0476,0.1012,0.1626,0.4098
0.1,10000,0.54,0.0299,0.052,0.092,0.1524,0.3401,0.0082,0.0279,0.06,0.0988,0.2606
0.1,10000,0.55,0.0193,0.0334,0.0591,0.0976,0.2174,0.0056,0.0184,0.0396,0.0658,0.1854
0.1,10000,0.56,0.0136,0.0231,0.041,0.0685,0.15,0.0041,0.0132,0.028,0.0469,0.1393
0.1,10000,0.57,0.01,0.0171,0.0302,0.0504,0.1094,0.0031,0.0098,0.0209,0.0351,0.1059
0.1,10000,0.58,0.0077,0.0131,0.0231,0.0386,0.0849,0.0026,0.0077,0.0163,0.0271,0.0822
0.1,10000,0.59,0.0061,0.0105,0.0184,0.0305,0.067,0.0022,0.0062,0.013,0.0216,0.0655
0.1,10000,0.6,0.0051,0.0084,0.0149,0.0247,0.0542,0.0019,0.0052,0.0106,0.0177,0.053
0.1,10000,0.61,0.0041,0.0071,0.0122,0.0203,0.0446,0.0016,0.0043,0.0089,0.0147,0.042
0.1,10000,0.62,0.0036,0.0059,0.0102,0.0171,0.0375,0.0014,0.0036,0.0075,0.0125,0.0355
0.1,10000,0.63,0.0031,0.005,0.0089,0.0144,0.0321,0.0013,0.0032,0.0064,0.0107,0.0296
0.1,10000,0.64,0.0026,0.0042,0.0075,0.0124,0.0273,0.0011,0.0028,0.0056,0.0092,0.0256
0.1,10000,0.65,0.0023,0.0038,0.0066,0.0108,0.0236,0.001,0.0025,0.0049,0.008,0.0231
0.1,10000,0.66,0.0021,0.0035,0.0059,0.0095,0.0207,0.001,0.0022,0.0043,0.0071,0.0196
0.1,10000,0.67,0.0018,0.003,0.0052,0.0083,0.0183,0.0009,0.002,0.0038,0.0063,0.0174
0.1,10000,0.68,0.0015,0.0028,0.0047,0.0074,0.0162,0.0008,0.0018,0.0035,0.0057,0.0153
0.1,10000,0.69,0.0015,0.0025,0.004,0.0067,0.0147,0.0008,0.0017,0.0031,0.0051,0.0134
0.1,10000,0.7,0.0012,0.0022,0.0038,0.006,0.0131,0.0007,0.0015,0.0029,0.0046,0.0125
0.1,10000,0.71,0.0012,0.002,0.0033,0.0053,0.0119,0.0007,0.0014,0.0026,0.0042,0.0108
0.1,10000,0.72,0.0012,0.0017,0.003,0.0048,0.0108,0.0007,0.0013,0.0024,0.0038,0.01
0.1,10000,0.73,0.0009,0.0017,0.0028,0.0043,0.0099,0.0006,0.0012,0.0022,0.0035,0.0093
0.1,10000,0.74,0.0009,0.0014,0.0025,0.0041,0.0089,0.0006,0.0011,0.0021,0.0032,0.0085
0.1,10000,0.75,0.0009,0.0014,0.0022,0.0039,0.0082,0.0006,0.0011,0.0019,0.003,0.0078
0.1,10000,0.76,0.0009,0.0014,0.0023,0.0036,0.0075,0.0006,0.001,0.0018,0.0028,0.0071
0.1,10000,0.77,0.0009,0.0011,0.002,0.0031,0.0067,0.0005,0.0009,0.0017,0.0026,0.0065
0.1,10000,0.78,0.0009,0.0011,0.0017,0.0028,0.0063,0.0005,0.0009,0.0015,0.0024,0.0059
0.1,10000,0.79,0.0008,0.0011,0.0017,0.0026,0.0058,0.0005,0.0009,0.0015,0.0022,0.0053
0.1,10000,0.8,0.0005,0.0008,0.0014,0.0026,0.0056,0.0005,0.0008,0.0014,0.0021,0.0047
0.1,10000,0.81,0.0005,0.0008,0.0014,0.0023,0.005,0.0005,0.0008,0.0013,0.002,0.0047
0.1,10000,0.82,0.0005,0.0008,0.0014,0.002,0.0045,0.0005,0.0007,0.0012,0.0018,0.0042
0.1,10000,0.83,0.0005,0.0008,0.0011,0.0021,0.0043,0.0004,0.0007,0.0011,0.0017,0.0042
0.1,10000,0.84,0.0005,0.0008,0.0011,0.0018,0.004,0.0004,0.0007,0.0011,0.0016,0.0037
0.1,10000,0.85,0.0005,0.0008,0.0011,0.0018,0.0038,0.0004,0.0007,0.001,0.0015,0.0037
0.1,10000,0.86,0.0005,0.0008,0.0011,0.0015,0.0035,0.0004,0.0006,0.001,0.0015,0.0033
0.1,10000,0.87,0.0005,0.0008,0.0012,0.0015,0.0032,0.0004,0.0006,0.0009,0.0014,0.0033
0.1,10000,0.88,0.0005,0.0005,0.0008,0.0015,0.0029,0.0004,0.0006,0.0009,0.0013,0.0029
0.1,10000,0.89,0.0004,0.0004,0.0008,0.0012,0.0026,0.0004,0.0006,0.0009,0.0012,0.0029
0.1,10000,0.9,0.0004,0.0004,0.0008,0.0012,0.0027,0.0004,0.0006,0.0008,0.0012,0.0029
0.1,10000,0.91,0.0004,0.0004,0.0008,0.0012,0.0024,0.0004,0.0005,0.0008,0.0011,0.0025
0.1,10000,0.92,0.0004,0.0004,0.0008,0.0012,0.002,0.0004,0.0005,0.0008,0.0011,0.0025
0.1,10000,0.93,0.0004,0.0004,0.0008,0.0008,0.0021,0.0004,0.0005,0.0007,0.001,0.0021
0.1,10000,0.94,0.0004,0.0004,0.0004,0.0009,0.0017,0.0003,0.0005,0.0007,0.001,0.0021
0.1,10000,0.95,0.0004,0.0004,0.0004,0.0009,0.0018,0.0003,0.0005,0.0007,0.0009,0.0021
0.1,10000,0.96,0.0004,0.0004,0.0004,0.0009,0.0014,0.0003,0.0005,0.0007,0.0009,0.0018
0.1,10000,0.97,0.0004,0.0004,0.0004,0.0009,0.0014,0.0003,0.0005,0.0006,0.0008,0.0018
0.1,10000,0.98,0.0004,0.0004,0.0004,0.0004,0.0015,0.0003,0.0004,0.0006,0.0008,0.0015
0.1,10000,0.99,0.0004,0.0004,0.0004,0.0004,0.0011,0.0003,0.0004,0.0006,0.0008,0.0015
0.1,1000000,0.51,0.004719,0.008153,0.014547,0.024278,0.053806,0.001041,0.004269,0.009803,0.016932,0.06449
0.1,1000000,0.52,0.00119,0.002053,0.003643,0.006043,0.013496,0.000285,0.001095,0.002493,0.004307,0.01554
0.1,1000000,0.53,0.000531,0.000912,0.001619,0.002708,0.005982,0.000136,0.000498,0.001121,0.00193,0.006665
0.1,1000000,0.54,0.000301,0.00052,0.000916,0.001526,0.003347,8.3e-05,0.000287,0.000636,0.001092,0.003662
0.1,1000000,0.55,0.000193,0.000334,0.000587,0.000974,0.002139,5.8e-05,0.000186,0.000411,0.000704,0.00227
0.1,1000000,0.56,0.000136,0.000231,0.00041,0.000676,0.001487,4.1e-05,0.000132,0.000288,0.00049,0.001558
0.1,1000000,0.57,0.000102,0.000171,0.000302,0.000498,0.001113,3.3e-05,9.9e-05,0.000213,0.000362,0.001131
0.1,1000000,0.58,7.7e-05,0.000131,0.000231,0.000384,0.000847,2.7e-05,7.8e-05,0.000165,0.000278,0.000839
0.1,1000000,0.59,6.1e-05,0.000105,0.000184,0.000302,0.000672,2.2e-05,6.3e-05,0.000131,0.000222,0.000669
0.1,1000000,0.6,5.1e-05,8.4e-05,0.000149,0.000244,0.000536,1.9e-05,5.2e-05,0.000107,0.00018,0.000536
0.1,1000000,0.61,4.1e-05,7.1e-05,0.000122,0.000203,0.000439,1.6e-05,4.3e-05,9e-05,0.00015,0.000433
0.1,1000000,0.62,3.6e-05,5.9e-05,0.000105,0.000168,0.000369,1.4e-05,3.7e-05,7.6e-05,0.000125,0.000356
0.1,1000000,0.63,3.1e-05,5e-05,8.9e-05,0.000144,0.000312,1.3e-05,3.3e-05,6.5e-05,0.000107,0.0003
0.1,1000000,0.64,2.6e-05,4.2e-05,7.5e-05,0.000124,0.000269,1.1e-05,2.9e-05,5.7e-05,9.3e-05,0.000261
0.1,1000000,0.65,2.3e-05,3.8e-05,6.6e-05,0.000108,0.000233,1e-05,2.5e-05,5e-05,8.2e-05,0.000225
0.1,1000000,0.66,2.1e-05,3.5e-05,5.9e-05,9.5e-05,0.000205,1e-05,2.3e-05,4.4e-05,7.2e-05,0.000191
0.1,1000000,0.67,1.8e-05,3e-05,5.2e-05,8.3e-05,0.00018,9e-06,2e-05,3.9e-05,6.4e-05,0.000181
0.1,1000000,0.68,1.5e-05,2.8e-05,4.7e-05,7.4e-05,0.000162,8e-06,1.8e-05,3.5e-05,5.8e-05,0.000151
0.1,1000000,0.69,1.5e-05,2.5e-05,4.2e-05,6.7e-05,0.000144,8e-06,1.7e-05,3.2e-05,5.2e-05,0.000132
0.1,1000000,0.7,1.2e-05,2.2e-05,3.8e-05,6e-05,0.000128,7e-06,1.5e-05,2.9e-05,4.7e-05,0.000124
0.1,1000000,0.71,1.2e-05,2e-05,3.3e-05,5.3e-05,0.000117,7e-06,1.4e-05,2.7e-05,4.2e-05,0.000107
0.1,1000000,0.72,1.2e-05,1.7e-05,3e-05,4.8e-05,0.000105,7e-06,1.3e-05,2.4e-05,3.8e-05,9.9e-05
0.1,1000000,0.73,9e-06,1.7e-05,2.8e-05,4.3e-05,9.6e-05,6e-06,1.2e-05,2.2e-05,3.5e-05,9.2e-05
0.1,1000000,0.74,9e-06,1.4e-05,2.5e-05,4.1e-05,8.6e-05,6e-06,1.1e-05,2.1e-05,3.3e-05,8.4e-05
0.1,1000000,0.75,9e-06,1.4e-05,2.2e-05,3.9e-05,7.9e-05,6e-06,1.1e-05,1.9e-05,3e-05,7.7e-05
0.1,1000000,0.76,9e-06,1.4e-05,2.3e-05,3.6e-05,7.5e-05,6e-06,1e-05,1.8e-05,2.8e-05,7.1e-05
0.1,1000000,0.77,9e-06,1.1e-05,2e-05,3.1e-05,6.7e-05,5e-06,9e-06,1.7e-05,2.6e-05,6.4e-05
0.1,1000000,0.78,9e-06,1.1e-05,1.7e-05,2.8e-05,6.3e-05,5e-06,9e-06,1.5e-05,2.4e-05,5.8e-05
0.1,1000000,0.79,8e-06,1.1e-05,1.7e-05,2.6e-05,5.8e-05,5e-06,9e-06,1.4e-05,2.2e-05,5.8e-05
0.1,1000000,0.8,5e-06,8e-06,1.4e-05,2.6e-05,5.3e-05,5e-06,8e-06,1.4e-05,2.1e-05,5.3e-05
0.1,1000000,0.81,5e-06,8e-06,1.4e-05,2.3e-05,4.7e-05,5e-06,8e-06,1.3e-05,2e-05,4.7e-05
0.1,1000000,0.82,5e-06,8e-06,1.4e-05,2e-05,4.5e-05,5e-06,7e-06,1.2e-05,1.8e-05,4.2e-05
0.1,1000000,0.83,5e-06,8e-06,1.1e-05,2.1e-05,4.3e-05,4e-06,7e-06,1.1e-05,1.7e-05,4.2e-05
0.1,1000000,0.84,5e-06,8e-06,1.1e-05,2.1e-05,4e-05,4e-06,7e-06,1.1e-05,1.6e-05,3.7e-05
0.1,1000000,0.85,5e-06,8e-06,1.1e-05,1.8e-05,3.8e-05,4e-06,7e-06,1e-05,1.5e-05,3.7e-05
0.1,1000000,0.86,5e-06,8e-06,1.1e-05,1.8e-05,3.5e-05,4e-06,6e-06,1e-05,1.4e-05,3.3e-05
0.1,1000000,0.87,5e-06,8e-06,1.2e-05,1.5e-05,3.2e-05,4e-06,6e-06,9e-06,1.4e-05,3.3e-05
0.1,1000000,0.88,5e-06,5e-06,8e-06,1.5e-05,2.9e-05,4e-06,6e-06,9e-06,1.3e-05,2.8e-05
0.1,1000000,0.89,4e-06,4e-06,8e-06,1.2e-05,2.6e-05,4e-06,6e-06,9e-06,1.2e-05,2.8e-05
0.1,1000000,0.9,4e-06,4e-06,8e-06,1.2e-05,2.7e-05,4e-06,6e-06,8e-06,1.2e-05,2.4e-05
0.1,1000000,0.91,4e-06,4e-06,8e-06,1.2e-05,2.4e-05,4e-06,5e-06,8e-06,1.1e-05,2.4e-05
0.1,1000000,0.92,4e-06,4e-06,8e-06,1.2e-05,2e-05,4e-06,5e-06,8e-06,1.1e-05,2.4e-05
0.1,1000000,0.93,4e-06,4e-06,8e-06,8e-06,2.1e-05,4e-06,5e-06,7e-06,1e-05,2.1e-05
0.1,1000000,0.94,4e-06,4e-06,4e-06,9e-06,1.7e-05,3e-06,5e-06,7e-06,1e-05,2.1e-05
0.1,1000000,0.95,4e-06,4e-06,4e-06,9e-06,1.8e-05,3e-06,5e-06,7e-06,9e-06,2.1e-05
0.1,1000000,0.96,4e-06,4e-06,4e-06,9e-06,1.4e-05,3e-06,5e-06,7e-06,9e-06,1.8e-05
0.1,1000000,0.97,4e-06,4e-06,4e-06,9e-06,1.4e-05,3e-06,5e-06,6e-06,8e-06,1.8e-05
0.1,1000000,0.98,4e-06,4e-06,4e-06,4e-06,1.5e-05,3e-06,4e-06,6e-06,8e-06,1.4e-05
0.1,1000000,0.99,4e-06,4e-06,4e-06,4e-06,1.1e-05,3e-06,4e-06,6e-06,8e-06,1.4e-05
0.01,1000000,0.51,0.012601,0.019041,0.029084,0.04235,0.078009,0.006939,0.013591,0.022457,0.032523,0.0923460000001
0.01,1000000,0.52,0.003155,0.004775,0.007293,0.010591,0.0195,0.001769,0.003457,0.005734,0.008356,0.022937
0.01,1000000,0.53,0.001405,0.002123,0.003242,0.004721,0.008638,0.000797,0.00155,0.002567,0.003742,0.009945
0.01,1000000,0.54,0.000794,0.0012,0.001825,0.002656,0.004856,0.000455,0.000879,0.001451,0.002113,0.005505
0.01,1000000,0.55,0.00051,0.000767,0.001169,0.001702,0.003108,0.000296,0.000566,0.000932,0.001355,0.003429
0.01,1000000,0.56,0.000354,0.000533,0.000811,0.001182,0.002169,0.000207,0.000396,0.000649,0.000944,0.002345
0.01,1000000,0.57,0.000259,0.000393,0.000597,0.000866,0.001593,0.000154,0.000293,0.00048,0.000694,0.001715
0.01,1000000,0.58,0.000199,0.000299,0.000458,0.000662,0.001206,0.000119,0.000225,0.000368,0.000534,0.001294
0.01,1000000,0.59,0.000158,0.000237,0.00036,0.000523,0.000956,9.6e-05,0.000179,0.000292,0.000422,0.001004
0.01,1000000,0.6,0.000128,0.000193,0.000293,0.000424,0.000777,7.9e-05,0.000146,0.000237,0.000342,0.000817
0.01,1000000,0.61,0.000107,0.000159,0.000242,0.00035,0.00064,6.6e-05,0.000121,0.000196,0.000284,0.000669
0.01,1000000,0.62,9e-05,0.000133,0.000202,0.000293,0.000534,5.6e-05,0.000102,0.000165,0.000238,0.000554
0.01,1000000,0.63,7.6e-05,0.000115,0.000172,0.000251,0.000451,4.8e-05,8.8e-05,0.000141,0.000202,0.000466
0.01,1000000,0.64,6.6e-05,9.8e-05,0.000147,0.000215,0.000387,4.2e-05,7.7e-05,0.000122,0.000175,0.000402
0.01,1000000,0.65,5.8e-05,8.6e-05,0.000129,0.000188,0.000337,3.8e-05,6.7e-05,0.000106,0.000152,0.000342
0.01,1000000,0.66,5.1e-05,7.4e-05,0.000113,0.000163,0.000294,3.4e-05,5.9e-05,9.4e-05,0.000134,0.0003
0.01,1000000,0.67,4.5e-05,6.7e-05,0.000101,0.000144,0.000261,3e-05,5.2e-05,8.3e-05,0.000118,0.000261
0.01,1000000,0.68,4e-05,6e-05,8.9e-05,0.000128,0.000231,2.7e-05,4.7e-05,7.5e-05,0.000106,0.000237
0.01,1000000,0.69,3.7e-05,5.5e-05,7.9e-05,0.000114,0.000209,2.4e-05,4.2e-05,6.7e-05,9.5e-05,0.000213
0.01,1000000,0.7,3.4e-05,4.7e-05,7.2e-05,0.000102,0.000188,2.2e-05,3.9e-05,6e-05,8.6e-05,0.000191
0.01,1000000,0.71,2.9e-05,4.4e-05,6.5e-05,9.3e-05,0.000169,2e-05,3.6e-05,5.5e-05,7.8e-05,0.000171
0.01,1000000,0.72,2.6e-05,3.9e-05,6e-05,8.6e-05,0.000153,1.9e-05,3.2e-05,5e-05,7.1e-05,0.000151
0.01,1000000,0.73,2.6e-05,3.6e-05,5.5e-05,7.8e-05,0.000139,1.8e-05,3e-05,4.6e-05,6.5e-05,0.000142
0.01,1000000,0.74,2.3e-05,3.4e-05,5e-05,7.1e-05,0.000127,1.7e-05,2.7e-05,4.2e-05,5.9e-05,0.000132
0.01,1000000,0.75,2.3e-05,3.1e-05,4.4e-05,6.6e-05,0.000115,1.6e-05,2.5e-05,3.9e-05,5.4e-05,0.000115
0.01,1000000,0.76,2e-05,2.8e-05,4.2e-05,5.8e-05,0.000105,1.5e-05,2.3e-05,3.6e-05,5e-05,0.000107
0.01,1000000,0.77,2e-05,2.5e-05,3.9e-05,5.6e-05,9.8e-05,1.4e-05,2.2e-05,3.3e-05,4.7e-05,9.9e-05
0.01,1000000,0.78,1.7e-05,2.5e-05,3.6e-05,5.1e-05,9.1e-05,1.3e-05,2e-05,3.1e-05,4.3e-05,9.2e-05
0.01,1000000,0.79,1.6e-05,2.2e-05,3.4e-05,4.5e-05,8.3e-05,1.2e-05,1.9e-05,2.9e-05,4.1e-05,8.4e-05
0.01,1000000,0.8,1.6e-05,2.2e-05,3.1e-05,4.3e-05,7.5e-05,1.2e-05,1.8e-05,2.7e-05,3.8e-05,7.7e-05
0.01,1000000,0.81,1.3e-05,1.9e-05,2.8e-05,4e-05,7e-05,1.1e-05,1.7e-05,2.5e-05,3.5e-05,7.1e-05
0.01,1000000,0.82,1.3e-05,1.9e-05,2.5e-05,3.7e-05,6.5e-05,1.1e-05,1.6e-05,2.4e-05,3.3e-05,6.4e-05
0.01,1000000,0.83,1.3e-05,1.9e-05,2.5e-05,3.5e-05,6.3e-05,1e-05,1.5e-05,2.2e-05,3.1e-05,6.4e-05
0.01,1000000,0.84,1.3e-05,1.6e-05,2.2e-05,3.2e-05,5.7e-05,1e-05,1.5e-05,2.1e-05,2.8e-05,5.8e-05
0.01,1000000,0.85,1.2e-05,1.6e-05,2.2e-05,3.2e-05,5.5e-05,9e-06,1.4e-05,2e-05,2.7e-05,5.3e-05
0.01,1000000,0.86,9e-06,1.6e-05,1.9e-05,2.9e-05,4.9e-05,9e-06,1.3e-05,1.9e-05,2.5e-05,5.3e-05
0.01,1000000,0.87,9e-06,1.2e-05,1.9e-05,2.6e-05,4.7e-05,8e-06,1.3e-05,1.8e-05,2.4e-05,4.7e-05
0.01,1000000,0.88,9e-06,1.2e-05,1.9e-05,2.6e-05,4.4e-05,8e-06,1.2e-05,1.7e-05,2.2e-05,4.7e-05
0.01,1000000,0.89,8e-06,1.2e-05,1.6e-05,2.3e-05,4.1e-05,8e-06,1.1e-05,1.6e-05,2.1e-05,4.2e-05
0.01,1000000,0.9,8e-06,1.2e-05,1.6e-05,2.3e-05,3.8e-05,7e-06,1.1e-05,1.5e-05,2e-05,3.7e-05
0.01,1000000,0.91,8e-06,1.2e-05,1.6e-05,2e-05,3.5e-05,7e-06,1e-05,1.5e-05,1.9e-05,3.7e-05
0.01,1000000,0.92,8e-06,8e-06,1.2e-05,2e-05,3.2e-05,7e-06,1e-05,1.4e-05,1.8e-05,3.3e-05
0.01,1000000,0.93,8e-06,8e-06,1.2e-05,1.6e-05,2.9e-05,7e-06,9e-06,1.3e-05,1.7e-05,3.3e-05
0.01,1000000,0.94,8e-06,8e-06,1.2e-05,1.7e-05,3e-05,7e-06,9e-06,1.2e-05,1.6e-05,2.8e-05
0.01,1000000,0.95,8e-06,8e-06,1.2e-05,1.7e-05,2.6e-05,6e-06,9e-06,1.2e-05,1.5e-05,2.8e-05
